"
            GMW-B5000RD-4ER        ", 51 990
"
            GST-B100-1AER        ", 27 490
"
            GST-B100D-1AER        ", 34 990
"
            GST-B400-1AER        ", 30 790
"
            GST-B400D-1AER        ", 35 990
"
            GW-3000M-4AER        ", 24 740
"
            GW-9400-1ER        ", 29 440
"
            GW-B5600-2ER        ", 13 590
"
            GW-B5600BC-1BER        ", 20 690
"
            GW-B5600CT-1ER        ", 12 190
"
            GW-M5610U-1ER        ", 13 840
"
            GWG-100-1A3ER        ", 28 890
"
            GWG-100-1AER        ", 28 890
"
            GWG-2000-1A1ER        ", 74 890
"
            GWG-2000-1A3ER        ", 74 890
"
            GX-56BB-1ER        ", 13 490
"
            GXW-56BB-1ER        ", 24 490
"
            MRG-B1000D-1ADR        ", 234 990
"
            MRG-B2000B-1ADR        ", 232 990
"
            MTG-B1000-1AER        ", 80 990
"
            MTG-B2000B-1A2ER        ", 105 990
"
            MTG-B2000BD-1A4ER        ", 105 990
"
            MTG-B2000D-1AER        ", 105 990
"
            MTG-B2000XMG-1AER        ", 106 990
